Project Name	Sample Number	Station ID	Sample Date	Sample Time	Sample Type	Cost Code	Agency Bill Code	Trip ID	Sample Description	Collector	Sample Received Date	Chain of Custody	Replicate Number	Test Number	Method Agency	Method ID	Method Description	Param Description	CAS Number	Matrix Description	Problem Identifier	Result Code	Result Value	Lower Report Limit	Method Detect Limit	Sample Detect Limit	Sample Report Limit	Units	Dilution Factor	Batch Number	Analysis Date	Project Comment	Sample Comment	Test Comment	Result Comment
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490788	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Free Carbon Dioxide	124-38-9	Water			188	0.001	0.001	0.001	0.001	MG-L	1	SM2320B-20191203-1	12/03/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490788	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Hydroxide		Water		U	0	0.001	0.001	0.001	0.001	MG-L	1	SM2320B-20191203-1	12/03/2019 12:00:00 AM				
C2019-06582	2221499		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490788	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	pH		Water			6.429	0.001	0.001			NONE	1	SM2320B-20191203-1	12/03/2019 12:00:00 AM				
C2019-06582	2221500		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490793	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	B	7440-42-8	Water, Filtered			170	30	15	15.0	30.0	UG-L	1.00	EPA200.7-20191209-1	12/03/2019 12:00:00 AM				
C2019-06582	2221500		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490793	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Ca	7440-70-2	Water, Filtered			112	1	.5	0.5	1.0	MG-L	1.00	EPA200.7-20191209-1	12/03/2019 12:00:00 AM				
C2019-06582	2221500		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490793	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Fe	7439-89-6	Water, Filtered	<	U	30.0	30	15	15.0	30.0	UG-L	1.00	EPA200.7-20191209-1	12/03/2019 12:00:00 AM				
C2019-06582	2221500		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490793	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	K	7440-09-7	Water, Filtered			4.6	1	.5	0.5	1.0	MG-L	1.00	EPA200.7-20191209-1	12/03/2019 12:00:00 AM				
C2019-06582	2221500		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490793	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Mg	7439-95-4	Water, Filtered			22.6	1	.5	0.5	1.0	MG-L	1.00	EPA200.7-20191209-1	12/03/2019 12:00:00 AM				
C2019-06582	2221500		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	2	10492466	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Na	7440-23-5	Water, Filtered			95.4	1	.5	0.5	1	MG-L	1.00	EPA200.7-20191209-2	12/04/2019 12:00:00 AM				
C2019-06582	2221500		11/20/2019 12:00:00 AM	14:00		350	27		LRPX UWR4 LOWER ROCKY PASS SPRING PIPE	HH	11/26/2019 12:00:00 AM	F	1	10490794	SM 	 2340B	SM2340B Hardness Calculation. Entries are computed on save	Hardness		Water, Filtered			373	6.62	3.33			MG-L							
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491838	EPA 	 120.1	EPA 120.1 Specific Conductivity	Conductivity		Water			1630	2	0.083	0.083	2	UMHOS-CM	1	EPA120.1-20191204-1	12/04/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491836	EPA 	 160.1	EPA 160.1 Total Dissolved Solids (TDS)	Total Dissolved Solids		Water			994	20.00	11.7	11.7	20.0	MG-L	1	EPA160.1-20191210-1	12/09/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491837	EPA 	 160.2	EPA 160.2 Total Suspended Solids (TSS)	Total Suspended Solids		Water			19.6	4.000	1.488	1.49	4.00	MG-L	1	EPA160.2-20191210-1	12/09/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491832	EPA 	 180.1	EPA Method 180.1 Turbidity	Turbidity		Water		W	29.0	0.1	0.096	0.096	0.1	NTU	1	EPA180.1-20191204-1	12/04/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491834	EPA 	 325.2	EPA Method 325.2 Chloride	Chloride	16887-00-6	Water			57.7	3.5	0.44	0.44	3.5	MG-L	1	EPA325.2-20191216-1	12/16/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491833	EPA 	 375.2	EPA Method 375.2 Sulfate	Sulfate	14808-79-8	Water			215	20.00	9.04	9.04	20.0	MG-L	1	EPA375.2-20191219-1	12/18/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494113	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Alkalinity as Calcium Carbonate		Water			564	4	3.68	7.36	8	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494113	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Alkalinity as Carbonate		Water			339	0.001	0.001	0.002	0.002	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494113	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Bicarbonate	71-52-3	Water			688	0.001	0.001	0.002	0.002	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494113	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Carbonate	3812-32-6	Water		U	0	0.001	0.001	0.001	0.001	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494113	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Free Carbon Dioxide	124-38-9	Water			314	0.001	0.001	0.002	0.002	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494113	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Hydroxide		Water		U	0	0.001	0.001	0.001	0.001	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06617	2222082		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494113	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	pH		Water			6.555	0.001	0.001			NONE	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06617	2222089		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491892	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Ca	7440-70-2	Water, Filtered			97.9	1	.5	0.5	1	MG-L	1.00	EPA200.7-20191209-3	12/04/2019 12:00:00 AM				
C2019-06617	2222089		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491892	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	K	7440-09-7	Water, Filtered			9.02	1	.5	0.5	1	MG-L	1.00	EPA200.7-20191209-3	12/04/2019 12:00:00 AM				
C2019-06617	2222089		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491892	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Mg	7439-95-4	Water, Filtered			59.4	1	.5	0.5	1	MG-L	1.00	EPA200.7-20191209-3	12/04/2019 12:00:00 AM				
C2019-06617	2222089		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491892	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Na	7440-23-5	Water, Filtered			208	1	.5	0.5	1	MG-L	1.00	EPA200.7-20191209-3	12/04/2019 12:00:00 AM				
C2019-06617	2222089		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491894	EPA 	 200.8	EPA Method 200.8 ICP/MS Metals Data (from instrument)	Se	7782-49-2	Water, Filtered	<	U	1.0	1	0.5	0.5	1.0	UG-L	1.00	EPA200.8-20191205-1	12/04/2019 12:00:00 AM				
C2019-06617	2222089		12/02/2019 12:00:00 AM	10:30		350	27		MZ54 LBC PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491893	SM 	 2340B	SM2340B Hardness Calculation. Entries are computed on save	Hardness		Water, Filtered			489	6.62	3.33			MG-L							
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491846	EPA 	 120.1	EPA 120.1 Specific Conductivity	Conductivity		Water			1550	2	0.083	0.083	2	UMHOS-CM	1	EPA120.1-20191204-1	12/04/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491844	EPA 	 160.1	EPA 160.1 Total Dissolved Solids (TDS)	Total Dissolved Solids		Water			942	20.00	11.7	11.7	20.0	MG-L	1	EPA160.1-20191210-1	12/09/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491845	EPA 	 160.2	EPA 160.2 Total Suspended Solids (TSS)	Total Suspended Solids		Water			25.0	4.000	1.488	3.72	10.0	MG-L	2.5	EPA160.2-20191210-1	12/09/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491840	EPA 	 180.1	EPA Method 180.1 Turbidity	Turbidity		Water		W	52.6	0.1	0.096	0.096	0.1	NTU	1	EPA180.1-20191204-1	12/04/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491842	EPA 	 325.2	EPA Method 325.2 Chloride	Chloride	16887-00-6	Water			55.8	3.5	0.44	0.44	3.5	MG-L	1	EPA325.2-20191216-1	12/16/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491841	EPA 	 375.2	EPA Method 375.2 Sulfate	Sulfate	14808-79-8	Water			232	20.00	9.04	9.04	20.0	MG-L	1	EPA375.2-20191219-1	12/18/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494114	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Alkalinity as Calcium Carbonate		Water			489	4	3.68	7.36	8	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494114	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Alkalinity as Carbonate		Water			293	0.001	0.001	0.002	0.002	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494114	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Bicarbonate	71-52-3	Water			597	0.001	0.001	0.002	0.002	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494114	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Carbonate	3812-32-6	Water		U	0	0.001	0.001	0.001	0.001	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494114	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Free Carbon Dioxide	124-38-9	Water			424	0.001	0.001	0.002	0.002	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494114	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Hydroxide		Water		U	0	0.001	0.001	0.001	0.001	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06618	2222083		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494114	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	pH		Water			6.363	0.001	0.001			NONE	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06618	2222090		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491895	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Ca	7440-70-2	Water, Filtered			90.7	1	.5	0.5	1	MG-L	1.00	EPA200.7-20191209-3	12/04/2019 12:00:00 AM				
C2019-06618	2222090		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491895	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	K	7440-09-7	Water, Filtered			8.63	1	.5	0.5	1	MG-L	1.00	EPA200.7-20191209-3	12/04/2019 12:00:00 AM				
C2019-06618	2222090		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491895	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Mg	7439-95-4	Water, Filtered			52.1	1	.5	0.5	1	MG-L	1.00	EPA200.7-20191209-3	12/04/2019 12:00:00 AM				
C2019-06618	2222090		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491895	EPA 	 200.7	EPA Method 200.7 ICP/OES Metals - 20191016 Moved from EXCLUDE Group to MTL	Na	7440-23-5	Water, Filtered			208	1	.5	0.5	1	MG-L	1.00	EPA200.7-20191209-3	12/04/2019 12:00:00 AM				
C2019-06618	2222090		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491897	EPA 	 200.8	EPA Method 200.8 ICP/MS Metals Data (from instrument)	Se	7782-49-2	Water, Filtered	<	U	1.0	1	0.5	0.5	1.0	UG-L	1.00	EPA200.8-20191205-1	12/04/2019 12:00:00 AM				
C2019-06618	2222090		12/02/2019 12:00:00 AM	11:00		350	27		MZ55 LBC PZ2 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491896	SM 	 2340B	SM2340B Hardness Calculation. Entries are computed on save	Hardness		Water, Filtered			441	6.62	3.33			MG-L							
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491854	EPA 	 120.1	EPA 120.1 Specific Conductivity	Conductivity		Water			1630	2	0.083	0.083	2	UMHOS-CM	1	EPA120.1-20191204-1	12/04/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491852	EPA 	 160.1	EPA 160.1 Total Dissolved Solids (TDS)	Total Dissolved Solids		Water			998	20.00	11.7	11.7	20.0	MG-L	1	EPA160.1-20191210-1	12/09/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491853	EPA 	 160.2	EPA 160.2 Total Suspended Solids (TSS)	Total Suspended Solids		Water			1020	4.000	1.488	18.6	50.0	MG-L	12.5	EPA160.2-20191210-1	12/09/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491848	EPA 	 180.1	EPA Method 180.1 Turbidity	Turbidity		Water			931	0.1	0.096	0.096	0.1	NTU	1	EPA180.1-20191204-1	12/04/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491850	EPA 	 325.2	EPA Method 325.2 Chloride	Chloride	16887-00-6	Water			39.6	3.5	0.44	0.44	3.5	MG-L	1	EPA325.2-20191216-1	12/16/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	1	10491849	EPA 	 375.2	EPA Method 375.2 Sulfate	Sulfate	14808-79-8	Water			203	20.00	9.04	9.04	20.0	MG-L	1	EPA375.2-20191219-1	12/18/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494115	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Alkalinity as Calcium Carbonate		Water			601	4	3.68	7.36	8	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494115	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Alkalinity as Carbonate		Water			361	0.001	0.001	0.002	0.002	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494115	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Bicarbonate	71-52-3	Water			733	0.001	0.001	0.002	0.002	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494115	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Carbonate	3812-32-6	Water		U	0	0.001	0.001	0.001	0.001	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494115	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Free Carbon Dioxide	124-38-9	Water			153	0.001	0.001	0.002	0.002	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
C2019-06619	2222084		12/03/2019 12:00:00 AM	11:00		350	27		MZ51 LCB PZ1 MONTEZUMA	JW	12/04/2019 12:00:00 AM	F	2	10494115	SM 	 2320B	SM 2320 B - Alkalinity, bicarbonate, carbonate, pH	Hydroxide		Water		U	0	0.001	0.001	0.001	0.001	MG-L	2	SM2320B-20191211-1	12/10/2019 12:00:00 AM				
